account_id,awg_engagement_rate,comment_engagement_rate,like_engagement_rate,followers,following,likes,top_videos,url,geografia,rango_edad_prioritario,porcentaje_mujeres,porcentaje_hombres,tópico 1,tópico 2,Rango de precio
a.r.m.y664,0.0496296296296296,0.0044729344729344,0.0451566951566951,1755,1443,1586,"https://www.tiktok.com/@a.r.m.y664/video/6823641608697761030,https://www.tiktok.com/@a.r.m.y664/video/6821452864347524358,https://www.tiktok.com/@a.r.m.y664/video/6816246226376264965,https://www.tiktok.com/@a.r.m.y664/video/6810714412442193157,https://www.tiktok.com/@a.r.m.y664/video/6808643059434228997,https://www.tiktok.com/@a.r.m.y664/video/6807379748537257221,https://www.tiktok.com/@a.r.m.y664/video/6807352721373400326,https://www.tiktok.com/@a.r.m.y664/video/6804174955920608517,https://www.tiktok.com/@a.r.m.y664/video/6803618838861712645,https://www.tiktok.com/@a.r.m.y664/video/6803605406015917318,https://www.tiktok.com/@a.r.m.y664/video/6799607039896112390,https://www.tiktok.com/@a.r.m.y664/video/6799168962862124293,https://www.tiktok.com/@a.r.m.y664/video/6798820763953581317,https://www.tiktok.com/@a.r.m.y664/video/6798053928517913861,https://www.tiktok.com/@a.r.m.y664/video/6797646901136149766,https://www.tiktok.com/@a.r.m.y664/video/6797489106248011013,https://www.tiktok.com/@a.r.m.y664/video/6797443903034346758,https://www.tiktok.com/@a.r.m.y664/video/6797100685591596294,https://www.tiktok.com/@a.r.m.y664/video/6797036659943738630,https://www.tiktok.com/@a.r.m.y664/video/6797028011934895366",https://www.tiktok.com/@a.r.m.y664,"Islas Canarias, Las Palmas",25-34,93.95,6.05,Negocios y Finanzas,Emprendimiento,30 – 150€
a2_9r,0.059322033898305,0.0043583535108958,0.0549636803874091,994,1422,3843,"https://www.tiktok.com/@a2_9r/video/7218348887654796550,https://www.tiktok.com/@a2_9r/video/7199727947064872197,https://www.tiktok.com/@a2_9r/video/7195018839480880390,https://www.tiktok.com/@a2_9r/video/7195018628679453957,https://www.tiktok.com/@a2_9r/video/7194670655172857094,https://www.tiktok.com/@a2_9r/video/7152444211546115333,https://www.tiktok.com/@a2_9r/video/7146509655353691397,https://www.tiktok.com/@a2_9r/video/7143276067028061445,https://www.tiktok.com/@a2_9r/video/7139894065730080006,https://www.tiktok.com/@a2_9r/video/7129224219057048837,https://www.tiktok.com/@a2_9r/video/7128675438813121797,https://www.tiktok.com/@a2_9r/video/7128142893109267718,https://www.tiktok.com/@a2_9r/video/7128135877921869061,https://www.tiktok.com/@a2_9r/video/7127777394634755333,https://www.tiktok.com/@a2_9r/video/7127403229352119558,https://www.tiktok.com/@a2_9r/video/7127046685850651909,https://www.tiktok.com/@a2_9r/video/7125771302463409414,https://www.tiktok.com/@a2_9r/video/7125460998164696325,https://www.tiktok.com/@a2_9r/video/7125459171239087366,https://www.tiktok.com/@a2_9r/video/7125281603470757126,https://www.tiktok.com/@a2_9r/video/7123722352851979525,https://www.tiktok.com/@a2_9r/video/7122194837268417797,https://www.tiktok.com/@a2_9r/video/7122086450694311173,https://www.tiktok.com/@a2_9r/video/7121306549162708229,https://www.tiktok.com/@a2_9r/video/7120933238750711046,https://www.tiktok.com/@a2_9r/video/7120570637180996869,https://www.tiktok.com/@a2_9r/video/7120570228093865222,https://www.tiktok.com/@a2_9r/video/7120337647851064581,https://www.tiktok.com/@a2_9r/video/7120335493425908997,https://www.tiktok.com/@a2_9r/video/7119870308223421701,https://www.tiktok.com/@a2_9r/video/7119868864644582662,https://www.tiktok.com/@a2_9r/video/7119599203617115397,https://www.tiktok.com/@a2_9r/video/7119530215826656517,https://www.tiktok.com/@a2_9r/video/7119253312943197446,https://www.tiktok.com/@a2_9r/video/7119252439341042949",https://www.tiktok.com/@a2_9r,"Extremadura, Badajoz",35-44,73.83,26.17,Negocios y Finanzas,Emprendimiento,30 – 150€
ti.po.check,0.0013994169096209,5.83090379008e-05,0.0013411078717201,1960,243,24000,"https://www.tiktok.com/@ti.po.check/video/6984628120712137986,https://www.tiktok.com/@ti.po.check/video/6984624062081355009,https://www.tiktok.com/@ti.po.check/video/6984621752177528066,https://www.tiktok.com/@ti.po.check/video/6984592298638052609,https://www.tiktok.com/@ti.po.check/video/6984582955058433282,https://www.tiktok.com/@ti.po.check/video/6984581989026303234,https://www.tiktok.com/@ti.po.check/video/6984574946475281665,https://www.tiktok.com/@ti.po.check/video/6984440969613610241,https://www.tiktok.com/@ti.po.check/video/6984440376551558402,https://www.tiktok.com/@ti.po.check/video/6984440114193779970,https://www.tiktok.com/@ti.po.check/video/6984439667097619714,https://www.tiktok.com/@ti.po.check/video/6984438680228236546,https://www.tiktok.com/@ti.po.check/video/6984438484983434498,https://www.tiktok.com/@ti.po.check/video/6984438321481010433,https://www.tiktok.com/@ti.po.check/video/6984438237225848065,https://www.tiktok.com/@ti.po.check/video/6984428695754771714,https://www.tiktok.com/@ti.po.check/video/6984370379447946497,https://www.tiktok.com/@ti.po.check/video/6984368797432024321,https://www.tiktok.com/@ti.po.check/video/6983213778057907457,https://www.tiktok.com/@ti.po.check/video/6982785715000118529,https://www.tiktok.com/@ti.po.check/video/6982365401426464001,https://www.tiktok.com/@ti.po.check/video/6982364759832235266,https://www.tiktok.com/@ti.po.check/video/6982361101321194754,https://www.tiktok.com/@ti.po.check/video/6982357057483672834,https://www.tiktok.com/@ti.po.check/video/6982353628984134913,https://www.tiktok.com/@ti.po.check/video/6982352466809539841,https://www.tiktok.com/@ti.po.check/video/6982272705290652929,https://www.tiktok.com/@ti.po.check/video/6980775935213669633,https://www.tiktok.com/@ti.po.check/video/6980771283013225729,https://www.tiktok.com/@ti.po.check/video/6980419392823758081,https://www.tiktok.com/@ti.po.check/video/6980255177303428354,https://www.tiktok.com/@ti.po.check/video/6980222684240022786,https://www.tiktok.com/@ti.po.check/video/6980058397819391233,https://www.tiktok.com/@ti.po.check/video/6980058301278997762,https://www.tiktok.com/@ti.po.check/video/6980057168334703874",https://www.tiktok.com/@ti.po.check,"La Rioja, Logroño",25-34,86.21,13.79,Salud y Bienestar,Deportes,30 – 150€
nutrifersanort,0.4697674418604651,0.0046511627906976,0.4651162790697675,980,41,100,"https://www.tiktok.com/@nutrifersanort/video/7053881719652601093,https://www.tiktok.com/@nutrifersanort/video/7047960090078366981,https://www.tiktok.com/@nutrifersanort/video/6951809551339457798,https://www.tiktok.com/@nutrifersanort/video/6942697790569024773,https://www.tiktok.com/@nutrifersanort/video/6940777895434407174",https://www.tiktok.com/@nutrifersanort,"Cantabria, Santander",25-34,94.09,5.91,Psicología,Salud y Bienestar,30 – 150€
bhgdee,0.1222826086956521,0.0081521739130434,0.1141304347826086,958,2262,126,"https://www.tiktok.com/@bhgdee/video/7197226638650756395,https://www.tiktok.com/@bhgdee/video/7197211522974764331,https://www.tiktok.com/@bhgdee/video/7197209996843666731,https://www.tiktok.com/@bhgdee/video/7010935074455702790",https://www.tiktok.com/@bhgdee,"Castilla y León, Valladolid",25-34,76.57,23.43,Videojuegos,Ciencia y Tecnología,30 – 150€
preyah_,0.0080755215209928,4.77950884605e-05,0.0080277264325323,108200,385,2000000,"https://www.tiktok.com/@preyah_/video/7265590204013022496,https://www.tiktok.com/@preyah_/video/7265348808257604896,https://www.tiktok.com/@preyah_/video/7264866569749056801,https://www.tiktok.com/@preyah_/video/7264865926842043681,https://www.tiktok.com/@preyah_/video/7261512508568046874,https://www.tiktok.com/@preyah_/video/7260881950544645402,https://www.tiktok.com/@preyah_/video/7260406233138482458,https://www.tiktok.com/@preyah_/video/7257801900119149850,https://www.tiktok.com/@preyah_/video/7257423564243062043,https://www.tiktok.com/@preyah_/video/7252229076872629530,https://www.tiktok.com/@preyah_/video/7247853243437436186,https://www.tiktok.com/@preyah_/video/7247032277601897755,https://www.tiktok.com/@preyah_/video/7245658270617144602,https://www.tiktok.com/@preyah_/video/7244808389560143131,https://www.tiktok.com/@preyah_/video/7241604724116524314,https://www.tiktok.com/@preyah_/video/7239239456174116123,https://www.tiktok.com/@preyah_/video/7238997626560007451,https://www.tiktok.com/@preyah_/video/7238511652772138266,https://www.tiktok.com/@preyah_/video/7236770548037078298,https://www.tiktok.com/@preyah_/video/7235542999222996250,https://www.tiktok.com/@preyah_/video/7234041339388661018,https://www.tiktok.com/@preyah_/video/7233303470936247578,https://www.tiktok.com/@preyah_/video/7233038892612603163,https://www.tiktok.com/@preyah_/video/7232714773769571610,https://www.tiktok.com/@preyah_/video/7231820838142512411,https://www.tiktok.com/@preyah_/video/7231468350507912475,https://www.tiktok.com/@preyah_/video/7231128351207968026,https://www.tiktok.com/@preyah_/video/7231097786496732442,https://www.tiktok.com/@preyah_/video/7229235037948874010,https://www.tiktok.com/@preyah_/video/7228590697815772443,https://www.tiktok.com/@preyah_/video/7228111134585310490,https://www.tiktok.com/@preyah_/video/7227845833922874650,https://www.tiktok.com/@preyah_/video/7227737622121090330,https://www.tiktok.com/@preyah_/video/7227385467409288475,https://www.tiktok.com/@preyah_/video/7227368610816150811",https://www.tiktok.com/@undefined,"Navarra, Pamplona",35-44,54.84,45.16,Emprendimiento,Inteligencia Artificial,"500 – 1,500€"
anastasiaashley,0.0017827358242114,9.6564857144e-06,0.0017730793384969,871100,268,9000000,"https://www.tiktok.com/@anastasiaashley/video/7265787538076454187,https://www.tiktok.com/@anastasiaashley/video/7264811329800703278,https://www.tiktok.com/@anastasiaashley/video/7264809589152189742,https://www.tiktok.com/@anastasiaashley/video/7263933246772104490,https://www.tiktok.com/@anastasiaashley/video/7263931279194819883,https://www.tiktok.com/@anastasiaashley/video/7263663576559275307,https://www.tiktok.com/@anastasiaashley/video/7263578708567690542,https://www.tiktok.com/@anastasiaashley/video/7262514195315412267,https://www.tiktok.com/@anastasiaashley/video/7262402874200591662,https://www.tiktok.com/@anastasiaashley/video/7259615754859941163,https://www.tiktok.com/@anastasiaashley/video/7256243520019680554,https://www.tiktok.com/@anastasiaashley/video/7255376327103073578,https://www.tiktok.com/@anastasiaashley/video/7254313998705773866,https://www.tiktok.com/@anastasiaashley/video/7249464535134915883,https://www.tiktok.com/@anastasiaashley/video/7248813010783866155,https://www.tiktok.com/@anastasiaashley/video/7248804442433195306,https://www.tiktok.com/@anastasiaashley/video/7247355411173625130,https://www.tiktok.com/@anastasiaashley/video/7246551417240980779,https://www.tiktok.com/@anastasiaashley/video/7246515984021097774,https://www.tiktok.com/@anastasiaashley/video/7245519884564679979,https://www.tiktok.com/@anastasiaashley/video/7239888980827868462,https://www.tiktok.com/@anastasiaashley/video/7239883130188860714,https://www.tiktok.com/@anastasiaashley/video/7239881481038892330,https://www.tiktok.com/@anastasiaashley/video/7239880662285815086,https://www.tiktok.com/@anastasiaashley/video/7238275642846874923,https://www.tiktok.com/@anastasiaashley/video/7238275205901208874,https://www.tiktok.com/@anastasiaashley/video/7238241675708239150,https://www.tiktok.com/@anastasiaashley/video/7231278292207439150,https://www.tiktok.com/@anastasiaashley/video/7228764729752210730,https://www.tiktok.com/@anastasiaashley/video/7227888307793939755,https://www.tiktok.com/@anastasiaashley/video/7226999090180082987,https://www.tiktok.com/@anastasiaashley/video/7226996513946307883,https://www.tiktok.com/@anastasiaashley/video/7224916551978274094,https://www.tiktok.com/@anastasiaashley/video/7222402582084324654",https://www.tiktok.com/@undefined,"Castilla y León, Valladolid",25-34,57.47,42.53,Viajes,Alimentación y Recetas,"1,500 – 7,000€"
_sanek__56rus,0.0057059300348077,0.0006516521766772,0.0050542778581305,3701,2961,1667,"https://www.tiktok.com/@_sanek__56rus/video/7071543707014581505,https://www.tiktok.com/@_sanek__56rus/video/7070521277328542978,https://www.tiktok.com/@_sanek__56rus/video/7068553961657208065,https://www.tiktok.com/@_sanek__56rus/video/7064601692377042177,https://www.tiktok.com/@_sanek__56rus/video/7059314720007851265,https://www.tiktok.com/@_sanek__56rus/video/7059050908851719425,https://www.tiktok.com/@_sanek__56rus/video/7058672087417867522,https://www.tiktok.com/@_sanek__56rus/video/7058651232361057537,https://www.tiktok.com/@_sanek__56rus/video/7058564195901574402,https://www.tiktok.com/@_sanek__56rus/video/7057767117306727681,https://www.tiktok.com/@_sanek__56rus/video/7057749469206564097,https://www.tiktok.com/@_sanek__56rus/video/7057060471878208770,https://www.tiktok.com/@_sanek__56rus/video/7055676079079427329,https://www.tiktok.com/@_sanek__56rus/video/7051962522223643905,https://www.tiktok.com/@_sanek__56rus/video/7051961475652472065,https://www.tiktok.com/@_sanek__56rus/video/7051959808739560706,https://www.tiktok.com/@_sanek__56rus/video/7051562528014355713,https://www.tiktok.com/@_sanek__56rus/video/7051254748833516801,https://www.tiktok.com/@_sanek__56rus/video/7051208550038736130,https://www.tiktok.com/@_sanek__56rus/video/7048214516328402178,https://www.tiktok.com/@_sanek__56rus/video/7046252285734735106,https://www.tiktok.com/@_sanek__56rus/video/7044781812450659585,https://www.tiktok.com/@_sanek__56rus/video/7044503141886217474,https://www.tiktok.com/@_sanek__56rus/video/7036274836682984706,https://www.tiktok.com/@_sanek__56rus/video/7035976921519312129,https://www.tiktok.com/@_sanek__56rus/video/7035965875672911106,https://www.tiktok.com/@_sanek__56rus/video/7035929947550076162,https://www.tiktok.com/@_sanek__56rus/video/7035572310551563521,https://www.tiktok.com/@_sanek__56rus/video/7035132714223275265,https://www.tiktok.com/@_sanek__56rus/video/7034968392893353217,https://www.tiktok.com/@_sanek__56rus/video/7034967594541010178,https://www.tiktok.com/@_sanek__56rus/video/7033799064000990465,https://www.tiktok.com/@_sanek__56rus/video/7033047436524276993,https://www.tiktok.com/@_sanek__56rus/video/7032924495375535362",https://www.tiktok.com/@_sanek__56rus,"Islas Canarias, Las Palmas",25-34,75.69,24.31,Arte y Cultura,Cine y Series,30 – 150€
_rinm,0.35,0.025,0.325,931,91,26,"https://www.tiktok.com/@_rinm/video/6993386177726287106,https://www.tiktok.com/@_rinm/video/6974939775270784258,https://www.tiktok.com/@_rinm/video/6974915517807119618,https://www.tiktok.com/@_rinm/video/6973325958099078401,https://www.tiktok.com/@_rinm/video/6971904064904908034",https://www.tiktok.com/@_rinm,"Madrid, Madrid",35-44,68.77,31.23,Moda y Belleza,Viajes,30 – 150€
_k_1_ji_ji_e_ip__,0.4761904761904761,0.0476190476190476,0.4285714285714286,927,116,18,"https://www.tiktok.com/@_k_1_ji_ji_e_ip__/video/7015448996575464706,https://www.tiktok.com/@_k_1_ji_ji_e_ip__/video/7014125124341320961,https://www.tiktok.com/@_k_1_ji_ji_e_ip__/video/7011865451550625025",https://www.tiktok.com/@_k_1_ji_ji_e_ip__,"Islas Canarias, Las Palmas",25-34,85.85,14.15,Política,Noticias y Actualidad,30 – 150€
